Date,Tournament,Court,Surface,Wrank,Lrank,Wage,Lage,Wheight,Lheight,Wtitles,Ltitles,Wh2h,Lh2h,winner_hand,loser_hand,winner_weight,loser_weight,winner_YTD_Won_Lost,loser_YTD_Won_Lost,winner_YTD_Titles,loser_YTD_Titles,winner_CAREER_W_L,loser_CAREER_W_L,winner_Career_Prize_Money,loser_Career_Prize_Money,Winner,Loser
2019.07.01,London,Outdoor,Grass,416,10,29,20,183,188,0,5,0,0,L,R,185,167,0/3,31/9,0,0,13/26,110/52,"$1,392,059","$5,667,668",Alex Bolt,Jannik Sinner
2019.07.01,London,Outdoor,Grass,198,123,34,26,180,183,0,0,0,0,L,L,158,165,0/0,5/3,0,0,4/10,5/3,"$969,054","$347,387",Andrea Arnaboldi,Ryan Peniston
2019.07.01,London,Outdoor,Grass,113,261,26,30,191,180,0,0,0,0,R,R,159,182,4/6,0/0,0,0,27/29,1/6,"$1,226,701","$789,714",Daniel Elahi Galan,Lorenzo Giustino
2019.07.01,London,Outdoor,Grass,611,505,33,34,180,183,0,0,0,0,R,R,172,176,0/2,0/0,0,0,28/26,19/45,"$946,784","$1,729,767",Attila Balazs,Peter Polansky
2019.07.01,London,Outdoor,Grass,34,86,25,20,185,175,1,0,0,0,R,R,180,143,23/17,2/3,0,0,74/68,5/6,"$3,092,308","$380,424",Tommy Paul,Chun-hsin Tseng
2019.07.01,London,Outdoor,Grass,315,0,36,(1,193,,2,0,0,0,R,R,182,kg,0/1,0/0,0,0,123/159,2/2,"$4,658,071","$260,207",Lukas Rosol,Sergio Gutierrez-Ferrol
2019.07.01,London,Outdoor,Grass,1325,121,31,32,193,183,0,0,0,0,R,L,194,180,0/0,4/12,0,0,3/6,34/71,"$386,886","$2,430,669",Viktor Galovic,Facundo Bagnis
2019.07.01,London,Outdoor,Grass,184,304,28,29,183,178,0,0,1,0,R,R,175,152,0/1,0/0,0,0,22/39,2/4,"$1,562,054","$534,139",Bjorn Fratangelo,Alexey Vatutin
2019.07.01,London,Outdoor,Grass,236,35,24,23,180,183,0,0,0,0,R,R,139,176,3/2,16/18,0,0,7/6,59/61,"$326,067","$3,085,619",Yosuke Watanuki,Alejandro Davidovich Fokina
2019.07.01,London,Outdoor,Grass,38,0,29,34,193,188,0,0,0,0,R,R,174,166,17/14,0/0,0,0,25/25,168/205,"$1,764,854","$4,541,251",Oscar Otte,Santiago Giraldo
2019.07.01,London,Outdoor,Grass,77,313,24,28,180,,1,0,0,0,R,R,159,154,12/16,0/0,0,0,49/48,9/7,"$1,985,610","$490,519",Soonwoo Kwon,Joao Domingues
2019.07.01,London,Outdoor,Grass,301,250,32,31,185,188,0,1,0,0,R,R,165,193,0/0,1/2,0,0,55/117,32/39,"$3,321,210","$1,230,177",Evgeny Donskoy,Mirza Basic
2019.07.01,London,Outdoor,Grass,141,1163,27,35,188,193,0,0,0,0,R,R,170,179,2/4,0/0,0,0,25/35,6/26,"$1,488,658","$1,149,834",Gianluca Mager,Aleksandr Nedovyesov
2019.07.01,London,Outdoor,Grass,52,178,25,29,185,191,1,0,0,0,R,R,168,170,14/16,1/1,1,0,40/47,2/9,"$2,466,327","$535,695",Pedro Martinez,Filip Horansky
2019.07.01,London,Outdoor,Grass,133,191,28,32,183,183,0,0,0,0,L,R,172,183,3/7,0/1,0,0,12/23,27/38,"$1,369,163","$1,583,660",Liam Broady,Andrej Martin
2019.07.01,London,Outdoor,Grass,91,333,23,22,183,178,0,0,0,0,R,R,165,155,8/8,0/0,0,0,48/55,0/0,"$1,902,096","$135,114",Mikael Ymer,Aidan McHugh
2019.07.01,London,Outdoor,Grass,263,867,29,32,185,188,0,0,0,0,R,R,176,187,0/1,0/0,0,0,19/44,19/41,"$1,919,295","$1,106,276",Salvatore Caruso,Ze Zhang
2019.07.01,London,Outdoor,Grass,514,649,36,30,193,188,4,0,0,0,R,R,176,170,0/0,0/1,0,0,177/215,29/18,"$5,606,768","$643,282",Sergiy Stakhovsky,Darian King
2019.07.01,London,Outdoor,Grass,390,131,34,26,183,185,0,0,0,0,L,R,165,171,0/0,8/5,0,0,30/61,32/60,"$2,231,442","$1,432,926",Ruben Bemelmans,Elias Ymer
